,back,nasal,pause,phoneme,stop,strident,time,vocalic
87,0.07340738,0.08588132,0.47712368,t,0.9227538,0.16678394,0.87,0.1475791
88,0.051901706,0.039764084,0.49403304,t,0.95018023,0.26621023,0.88,0.07791665
89,0.017866945,0.015902668,0.33996192,t,0.97647035,0.30304942,0.89,0.030485865
90,0.007252341,0.005920985,0.15793243,t,0.9883144,0.165546,0.9,0.012858166
91,0.007079575,0.0037014633,0.073306054,t,0.99109167,0.12102699,0.91,0.01397489
92,0.020033203,0.00617096,0.019217525,t,0.9845126,0.09863507,0.92,0.07455252
93,0.06184017,0.016217364,0.013645432,t,0.90106153,0.1472018,0.93,0.4469593
94,0.10085492,0.031990495,0.015508292,e,0.5719255,0.11717055,0.9400000000000001,0.7774791
95,0.10948575,0.033002354,0.012430738,e,0.22628725,0.040542796,0.9500000000000001,0.8856244
96,0.097576916,0.0476955,0.010017599,e,0.1471211,0.021381056,0.96,0.91516966
97,0.07272882,0.05884871,0.014471984,e,0.088428676,0.02730699,0.97,0.954546
98,0.07563042,0.04873599,0.011293642,e,0.031157019,0.025616348,0.98,0.98035884
99,0.074861124,0.03314079,0.011110135,e,0.01461861,0.04501871,0.99,0.9880675
100,0.057884898,0.03238986,0.013045969,e,0.008614049,0.18305619,1.0,0.9807715
101,0.0245566,0.03709418,0.028294357,e,0.012867635,0.46115673,1.01,0.91039854
102,0.010861623,0.014832924,0.081674956,e,0.02828646,0.82078624,1.02,0.63657147
103,0.008553603,0.0066438876,0.100809745,s,0.033582516,0.9620322,1.03,0.23114559
104,0.0061502024,0.0031675263,0.083708845,s,0.04381761,0.98774546,1.04,0.07639711
105,0.00578539,0.0026042864,0.07852929,s,0.056762524,0.99179536,1.05,0.0474498
106,0.005556042,0.0019678448,0.09761068,s,0.08556806,0.9923252,1.06,0.034311295
107,0.007388823,0.0014310953,0.15076482,s,0.1580382,0.989253,1.07,0.026954481
108,0.00807889,0.0007795251,0.21302329,s,0.3095086,0.98323894,1.08,0.018522302
109,0.004944576,0.0002913617,0.2704029,s,0.49985483,0.9733637,1.09,0.009032188
110,0.0057947803,0.00034351475,0.30821803,k,0.70067984,0.95539653,1.1,0.009682479
111,0.0044264253,0.0003133445,0.45123994,k,0.8129333,0.9004034,1.11,0.007977802
112,0.0041085184,0.00037044147,0.55621225,k,0.86328405,0.82278055,1.12,0.006016335
113,0.004988155,0.00051032065,0.5687106,k,0.8876748,0.73224515,1.1300000000000001,0.006269757
114,0.0073379935,0.0008259061,0.564666,k,0.913051,0.61128616,1.1400000000000001,0.008105057
115,0.018414928,0.0013500712,0.48730808,k,0.9402125,0.37775272,1.1500000000000001,0.014983989
116,0.062576264,0.0041917493,0.37796515,k,0.9505166,0.1287066,1.16,0.0404118
117,0.14988478,0.0071931304,0.21760559,k,0.9462743,0.040395338,1.17,0.08730425
118,0.33339283,0.008602191,0.14583406,k,0.9019467,0.022757316,1.18,0.1894596
119,0.40658352,0.02441204,0.2691057,k,0.70638674,0.045485277,1.19,0.40940392
120,0.4797742,0.18735985,0.0028557233,w,0.9060919,0.15731736,1.2,0.30474725
121,0.7752451,0.121027276,4.9668186e-05,w,0.8161052,0.021876497,1.21,0.6147144
122,0.92925316,0.09399907,1.3842414e-05,w,0.5150989,0.011230324,1.22,0.84569496
123,0.9614252,0.08117963,2.3912811e-05,w,0.36726952,0.00764127,1.23,0.91270465
124,0.96533906,0.08928532,7.8082136e-05,w,0.3063832,0.010291492,1.24,0.92644167
125,0.9613342,0.12447888,0.00028947284,w,0.30895108,0.012203172,1.25,0.91920996
126,0.95512825,0.1558205,0.0015160636,w,0.31067747,0.018187316,1.26,0.9102956
127,0.95854336,0.15902571,0.004335932,w,0.23166616,0.01698378,1.27,0.92899895
128,0.9777526,0.10057238,0.008018993,a,0.10005144,0.014576303,1.28,0.9623826
129,0.9885048,0.044252336,0.005580298,a,0.047936186,0.0086560035,1.29,0.9811348
130,0.98951995,0.02845664,0.0041798498,a,0.038695913,0.008501562,1.3,0.9831135
131,0.9735535,0.036660805,0.0029138154,a,0.09131705,0.022939878,1.31,0.9522183
132,0.8509837,0.05355167,0.017484408,a,0.13197573,0.054333717,1.32,0.70589113
133,0.42641687,0.04494898,0.091771625,r,0.12810801,0.068333484,1.33,0.3095457
134,0.2530005,0.035607923,0.06818057,r,0.12601596,0.080541074,1.34,0.2723182
135,0.2076756,0.027926425,0.12228644,r,0.14586134,0.1322451,1.35,0.24461028
136,0.19464052,0.023655197,0.19840322,r,0.16797872,0.13769256,1.36,0.19505242
137,0.15353172,0.027191529,0.22681373,r,0.23227341,0.1262642,1.37,0.15623923
138,0.116660826,0.05127864,0.2606207,r,0.34011987,0.12914701,1.3800000000000001,0.11903066
139,0.14115587,0.09869352,0.26614907,r,0.470653,0.16870765,1.3900000000000001,0.11705811
140,0.086735636,0.1029529,0.37292466,r,0.62466645,0.20214441,1.4000000000000001,0.0807227
141,0.06505455,0.07322882,0.44632876,<p:>,0.74114513,0.19018312,1.41,0.057902686
142,0.060328364,0.04521408,0.5340712,<p:>,0.8097204,0.20973979,1.42,0.046666566
143,0.06362974,0.023643857,0.5925578,t,0.87234586,0.2549252,1.43,0.03640628
144,0.042906042,0.017054781,0.52710986,t,0.9436579,0.24260741,1.44,0.02703842
145,0.036251713,0.033092074,0.17364395,t,0.98316413,0.11365787,1.45,0.027227698
146,0.031329844,0.021559548,0.088042274,t,0.98895174,0.14933792,1.46,0.020177804
147,0.031059355,0.010572384,0.05355373,t,0.99056596,0.1388989,1.47,0.019270692
148,0.09432272,0.010729938,0.02236463,t,0.9864932,0.103672005,1.48,0.048430406
149,0.2430257,0.017503718,0.008183744,t,0.97284657,0.085170075,1.49,0.12391353
150,0.63467455,0.033874765,0.007571753,o,0.8947581,0.07802076,1.5,0.4079012
